image,psnr,ssim
101085.png,20.5753,0.4381
101087.png,24.8052,0.7330
102061.png,22.2415,0.7141
103070.png,25.8144,0.7301
105025.png,23.5668,0.6068
106024.png,28.4124,0.8387
108005.png,23.1178,0.6173
108070.png,20.5542,0.4468
108082.png,23.5340,0.6894
109053.png,26.1574,0.7102
119082.png,19.7512,0.5855
12084.png,22.8591,0.5624
123074.png,25.5697,0.6658
126007.png,24.7915,0.7321
130026.png,22.3789,0.5642
134035.png,19.8574,0.5749
14037.png,29.5830,0.8303
143090.png,28.8218,0.8352
145086.png,21.7928,0.6313
147091.png,22.3681,0.7274
148026.png,17.7896,0.5168
148089.png,19.5316,0.4368
156065.png,22.6764,0.4678
157055.png,22.7440,0.6726
159008.png,22.6345,0.6999
160068.png,22.2984,0.7442
16077.png,24.5733,0.6494
163085.png,25.4148,0.7094
167062.png,26.6170,0.8365
167083.png,17.0790,0.3775
170057.png,25.6991,0.6752
175032.png,17.3972,0.2731
175043.png,20.7740,0.4349
182053.png,20.4778,0.6569
189080.png,30.0720,0.8465
19021.png,22.8007,0.5875
196073.png,26.5409,0.4440
197017.png,24.2025,0.6156
208001.png,25.0242,0.6254
210088.png,28.8359,0.8823
21077.png,22.6210,0.6258
216081.png,21.8325,0.5999
219090.png,23.0634,0.6684
220075.png,23.7959,0.7821
223061.png,19.9765,0.4997
227092.png,30.5558,0.7957
229036.png,19.7183,0.4772
236037.png,21.7741,0.4982
24077.png,22.0388,0.7541
241004.png,27.6803,0.7572
241048.png,22.1397,0.5067
253027.png,18.5532,0.5862
253055.png,27.7272,0.7597
260058.png,23.1319,0.5675
271035.png,23.3561,0.6409
285079.png,22.3880,0.5632
291000.png,19.0558,0.2896
295087.png,23.3290,0.5976
296007.png,27.9123,0.6938
296059.png,27.3135,0.6906
299086.png,27.5311,0.7156
300091.png,25.5409,0.7161
302008.png,24.0229,0.8788
304034.png,21.3484,0.5168
304074.png,22.9906,0.4933
306005.png,24.5938,0.7004
3096.png,32.2925,0.9556
33039.png,17.7131,0.4139
351093.png,19.8762,0.5474
361010.png,24.5748,0.7064
37073.png,26.7060,0.7343
376043.png,22.7000,0.4567
38082.png,23.0119,0.4226
38092.png,22.8053,0.5787
385039.png,20.0549,0.5940
41033.png,26.5152,0.6880
41069.png,20.8189,0.3333
42012.png,24.0098,0.6481
42049.png,25.5193,0.8902
43074.png,26.7852,0.7645
45096.png,30.2297,0.9010
54082.png,24.5384,0.5995
55073.png,19.2257,0.3852
58060.png,17.4402,0.4690
62096.png,21.8002,0.6890
65033.png,21.5089,0.4423
66053.png,22.7758,0.5553
69015.png,26.4934,0.7054
69020.png,24.7020,0.4519
69040.png,21.4630,0.4925
76053.png,25.7274,0.5766
78004.png,22.6569,0.6431
8023.png,27.5471,0.7814
85048.png,22.1003,0.5821
86000.png,21.3402,0.6709
86016.png,19.3583,0.2068
86068.png,25.3747,0.4619
87046.png,22.9281,0.6681
89072.png,22.2037,0.5749
97033.png,21.0034,0.5910

AVG,23.4753,0.6194
