image,psnr,ssim
101085.png,21.0763,0.4618
101087.png,24.6896,0.7388
102061.png,22.0822,0.7231
103070.png,26.6351,0.7543
105025.png,23.6907,0.6243
106024.png,29.5669,0.8569
108005.png,22.3870,0.6077
108070.png,20.4539,0.4578
108082.png,23.4645,0.6916
109053.png,26.2442,0.7215
119082.png,19.1329,0.5634
12084.png,22.7478,0.5818
123074.png,26.4519,0.7044
126007.png,25.0556,0.7452
130026.png,22.4302,0.5740
134035.png,20.2158,0.6073
14037.png,30.4511,0.8380
143090.png,29.1001,0.8371
145086.png,22.7367,0.6587
147091.png,22.6987,0.7321
148026.png,18.0523,0.5304
148089.png,19.8412,0.4763
156065.png,22.3226,0.4625
157055.png,22.5152,0.6715
159008.png,22.8304,0.7086
160068.png,22.7269,0.7534
16077.png,24.0764,0.6438
163085.png,26.3696,0.7248
167062.png,27.0421,0.8413
167083.png,17.6576,0.4052
170057.png,26.2056,0.7074
175032.png,18.2041,0.3169
175043.png,21.6909,0.5116
182053.png,20.7647,0.6649
189080.png,29.2064,0.8392
19021.png,23.1406,0.6272
196073.png,26.4767,0.4481
197017.png,24.9684,0.6445
208001.png,24.8865,0.6283
210088.png,29.0167,0.8866
21077.png,22.4812,0.6478
216081.png,22.0185,0.6138
219090.png,23.0882,0.6819
220075.png,23.5437,0.7885
223061.png,21.6252,0.5483
227092.png,31.0351,0.8054
229036.png,19.7423,0.4936
236037.png,21.9674,0.5039
24077.png,21.6820,0.7528
241004.png,28.4917,0.7804
241048.png,22.1753,0.5204
253027.png,18.5547,0.5962
253055.png,28.4375,0.7886
260058.png,29.4573,0.7184
271035.png,23.0852,0.6489
285079.png,22.3297,0.5772
291000.png,19.1452,0.3131
295087.png,24.0235,0.6250
296007.png,29.2390,0.7227
296059.png,27.7354,0.7144
299086.png,28.4527,0.7506
300091.png,25.6317,0.7191
302008.png,23.8272,0.8801
304034.png,21.1780,0.5219
304074.png,23.1039,0.5082
306005.png,24.6334,0.7048
3096.png,32.6551,0.9538
33039.png,17.8303,0.4332
351093.png,19.7600,0.5487
361010.png,24.7124,0.7184
37073.png,26.7009,0.7417
376043.png,22.8960,0.4810
38082.png,24.0281,0.4722
38092.png,23.0921,0.5965
385039.png,19.8619,0.6021
41033.png,27.0340,0.7073
41069.png,21.3576,0.3717
42012.png,25.2724,0.7015
42049.png,24.6900,0.8838
43074.png,27.1539,0.7525
45096.png,29.6868,0.8959
54082.png,25.6308,0.6381
55073.png,19.3643,0.4018
58060.png,18.4612,0.5008
62096.png,21.8965,0.6919
65033.png,21.6010,0.4569
66053.png,24.1178,0.5882
69015.png,26.7786,0.7217
69020.png,24.6251,0.4615
69040.png,22.1282,0.5209
76053.png,26.0891,0.6134
78004.png,22.3066,0.6534
8023.png,27.1114,0.7903
85048.png,22.3407,0.5993
86000.png,20.9992,0.6816
86016.png,20.4130,0.2420
86068.png,25.3332,0.4767
87046.png,22.8462,0.6759
89072.png,22.8187,0.6173
97033.png,21.1276,0.6024

AVG,23.7871,0.6369
