image,psnr,ssim,is_outlier_by_psnr_floor
101085.png,13.8778,0.1503,0
101087.png,16.9672,0.4315,0
102061.png,16.6844,0.3685,0
103070.png,17.9718,0.3668,0
105025.png,14.6806,0.2978,0
106024.png,20.2257,0.5577,0
108005.png,14.1206,0.1656,0
108070.png,13.5873,0.1304,0
108082.png,15.7026,0.3253,0
109053.png,16.5072,0.3184,0
119082.png,14.6579,0.2676,0
12084.png,15.3281,0.1709,0
123074.png,16.0101,0.2493,0
126007.png,16.5864,0.3163,0
130026.png,13.9278,0.1886,0
134035.png,13.4926,0.2346,0
14037.png,20.4843,0.4348,0
143090.png,19.9852,0.4092,0
145086.png,16.1114,0.2572,0
147091.png,16.8854,0.3034,0
148026.png,13.4402,0.2616,0
148089.png,14.4947,0.2107,0
156065.png,14.1874,0.1491,0
157055.png,15.5895,0.2428,0
159008.png,15.4134,0.3286,0
160068.png,16.6803,0.5704,0
16077.png,14.4203,0.1673,0
163085.png,16.8042,0.3140,0
167062.png,21.4210,0.6314,0
167083.png,12.1777,0.2357,0
170057.png,16.8203,0.1824,0
175032.png,11.0908,0.0956,0
175043.png,12.4512,0.1385,0
182053.png,14.5671,0.3206,0
189080.png,20.1455,0.4067,0
19021.png,15.8073,0.2356,0
196073.png,19.9295,0.1919,0
197017.png,15.9730,0.2187,0
208001.png,15.4184,0.1538,0
210088.png,17.4558,0.2404,0
21077.png,14.8001,0.1900,0
216081.png,15.2179,0.2845,0
219090.png,16.2900,0.2640,0
220075.png,16.4270,0.3978,0
223061.png,14.8702,0.2990,0
227092.png,18.9020,0.3055,0
229036.png,13.7165,0.1944,0
236037.png,13.8623,0.1393,0
24077.png,15.6205,0.3450,0
241004.png,19.6739,0.3206,0
241048.png,14.2005,0.1907,0
253027.png,14.1511,0.2537,0
253055.png,20.2313,0.3824,0
260058.png,19.5700,0.2943,0
271035.png,15.3130,0.1887,0
285079.png,13.9417,0.1630,0
291000.png,12.6343,0.1247,0
295087.png,15.7087,0.3423,0
296007.png,18.6349,0.1965,0
296059.png,17.2091,0.2567,0
299086.png,18.3012,0.3308,0
300091.png,18.7975,0.3412,0
302008.png,18.9330,0.6197,0
304034.png,13.0622,0.1526,0
304074.png,13.4470,0.1195,0
306005.png,15.2207,0.3247,0
3096.png,24.8649,0.6051,0
33039.png,11.6006,0.1797,0
351093.png,13.9229,0.4050,0
361010.png,16.5609,0.1928,0
37073.png,18.3782,0.2142,0
376043.png,13.5618,0.1214,0
38082.png,15.1910,0.1148,0
38092.png,14.7789,0.2480,0
385039.png,14.4298,0.2011,0
41033.png,18.4476,0.1992,0
41069.png,12.5436,0.0958,0
42012.png,18.1415,0.3509,0
42049.png,19.0011,0.4708,0
43074.png,18.3124,0.3953,0
45096.png,23.7512,0.6162,0
54082.png,16.3812,0.2213,0
55073.png,13.9129,0.1568,0
58060.png,13.9726,0.3384,0
62096.png,15.9590,0.3263,0
65033.png,14.0578,0.1501,0
66053.png,16.1120,0.2005,0
69015.png,17.0309,0.2898,0
69020.png,14.1770,0.0878,0
69040.png,13.6524,0.1303,0
76053.png,14.6270,0.1122,0
78004.png,15.4214,0.2593,0
8023.png,16.7015,0.3636,0
85048.png,14.0858,0.1918,0
86000.png,15.1124,0.3202,0
86016.png,14.2921,0.1091,0
86068.png,13.4861,0.0784,0
87046.png,15.2077,0.2804,0
89072.png,15.0492,0.1956,0
97033.png,14.6380,0.2117,0

AVG,15.9418,0.2670,
AVG(psnr>=10),15.9418,0.2670,dropped=0
