image,psnr,ssim,lpips,is_outlier_by_psnr_floor
101085.png,21.5716,0.4921,0.6285,0
101087.png,25.8315,0.7566,0.4250,0
102061.png,23.6333,0.7434,0.5219,0
103070.png,27.9943,0.8011,0.4023,0
105025.png,24.0145,0.6527,0.5583,0
106024.png,30.1526,0.8651,0.3266,0
108005.png,23.5080,0.6619,0.4945,0
108070.png,20.9312,0.5119,0.6834,0
108082.png,24.9117,0.7319,0.4613,0
109053.png,26.8688,0.7521,0.4520,0
119082.png,20.7661,0.5954,0.5689,0
12084.png,25.0806,0.6479,0.5504,0
123074.png,27.8094,0.7670,0.4766,0
126007.png,26.0935,0.7627,0.4139,0
130026.png,22.7384,0.6012,0.6116,0
134035.png,21.4529,0.6374,0.4980,0
14037.png,31.2139,0.8507,0.3568,0
143090.png,30.1220,0.8573,0.2834,0
145086.png,22.7578,0.6560,0.5176,0
147091.png,23.3463,0.7424,0.4832,0
148026.png,19.3243,0.5561,0.6045,0
148089.png,20.9259,0.5168,0.5941,0
156065.png,22.8801,0.5044,0.7427,0
157055.png,23.7321,0.7065,0.4890,0
159008.png,24.6103,0.7511,0.4037,0
160068.png,24.3863,0.7819,0.3715,0
16077.png,25.0975,0.6667,0.5624,0
163085.png,27.1611,0.7477,0.4962,0
167062.png,27.0707,0.8377,0.4769,0
167083.png,17.8288,0.4252,0.6932,0
170057.png,27.3961,0.7739,0.4636,0
175032.png,18.8780,0.3513,0.7997,0
175043.png,22.8010,0.5870,0.5323,0
182053.png,21.7991,0.6898,0.4757,0
189080.png,29.7537,0.8401,0.4265,0
19021.png,24.2741,0.6631,0.5852,0
196073.png,25.9754,0.4596,0.8053,0
197017.png,25.4972,0.6580,0.5111,0
208001.png,25.7668,0.6733,0.4700,0
210088.png,28.4844,0.8607,0.3575,0
21077.png,23.6204,0.6581,0.5873,0
216081.png,22.8878,0.6280,0.5471,0
219090.png,23.9472,0.6883,0.6024,0
220075.png,24.3129,0.8065,0.3489,0
223061.png,22.4449,0.5922,0.5943,0
227092.png,31.2775,0.8174,0.4288,0
229036.png,20.1692,0.5174,0.6244,0
236037.png,22.8007,0.5663,0.5456,0
24077.png,22.5510,0.7661,0.4030,0
241004.png,29.4996,0.7958,0.4632,0
241048.png,22.5866,0.5442,0.6806,0
253027.png,19.8139,0.6316,0.5516,0
253055.png,29.6392,0.8044,0.3901,0
260058.png,30.4872,0.7592,0.4323,0
271035.png,24.3559,0.6709,0.5270,0
285079.png,22.5391,0.5898,0.5612,0
291000.png,19.4386,0.3576,0.8472,0
295087.png,25.1454,0.6604,0.4923,0
296007.png,30.0535,0.7585,0.5907,0
296059.png,28.0362,0.7229,0.5025,0
299086.png,29.4410,0.7654,0.4588,0
300091.png,26.0372,0.7325,0.5163,0
302008.png,27.2883,0.8967,0.2548,0
304034.png,22.2051,0.6122,0.4931,0
304074.png,23.3816,0.5433,0.6771,0
306005.png,25.5097,0.7307,0.4904,0
3096.png,33.7992,0.9580,0.2356,0
33039.png,18.6931,0.4878,0.6707,0
351093.png,20.4710,0.5820,0.6057,0
361010.png,25.1641,0.7387,0.3982,0
37073.png,26.5672,0.7190,0.5654,0
376043.png,23.1398,0.5188,0.6341,0
38082.png,25.2434,0.5450,0.6832,0
38092.png,23.9688,0.6409,0.5237,0
385039.png,20.9909,0.5994,0.6243,0
41033.png,27.9064,0.7372,0.4740,0
41069.png,21.6568,0.4160,0.7265,0
42012.png,27.1149,0.7655,0.4454,0
42049.png,25.7613,0.8721,0.3135,0
43074.png,27.6894,0.7910,0.4073,0
45096.png,32.3381,0.9100,0.3032,0
54082.png,26.2246,0.6586,0.6018,0
55073.png,20.0185,0.4357,0.7549,0
58060.png,18.9140,0.5158,0.6463,0
62096.png,22.2316,0.6890,0.4823,0
65033.png,22.5819,0.5112,0.5954,0
66053.png,25.0137,0.6296,0.5168,0
69015.png,27.7190,0.7437,0.4299,0
69020.png,25.1531,0.5002,0.6539,0
69040.png,22.8274,0.5728,0.5128,0
76053.png,26.6820,0.6494,0.5679,0
78004.png,22.9071,0.6407,0.5420,0
8023.png,27.8292,0.8419,0.3247,0
85048.png,22.8936,0.6151,0.5468,0
86000.png,22.8006,0.6937,0.4502,0
86016.png,20.2232,0.2690,0.9702,0
86068.png,25.1099,0.5015,0.8233,0
87046.png,23.7984,0.7236,0.4363,0
89072.png,23.8581,0.6354,0.6343,0
97033.png,22.0882,0.6216,0.5631,0

AVG,24.6329,0.6648,0.5285,
AVG(psnr>=10),24.6329,0.6648,0.5285,dropped=0
