image,psnr,ssim,lpips,is_outlier_by_psnr_floor
101085.png,13.8778,0.1503,0.6484,0
101087.png,16.9672,0.4315,0.4732,0
102061.png,16.6844,0.3685,0.4951,0
103070.png,17.9718,0.3668,0.7159,0
105025.png,14.6806,0.2978,0.6186,0
106024.png,20.2257,0.5577,0.4987,0
108005.png,14.1206,0.1656,0.7650,0
108070.png,13.5873,0.1304,0.6724,0
108082.png,15.7026,0.3253,0.6087,0
109053.png,16.5072,0.3184,0.6863,0
119082.png,14.6579,0.2676,0.4157,0
12084.png,15.3281,0.1709,0.7650,0
123074.png,16.0101,0.2493,0.7908,0
126007.png,16.5864,0.3163,0.5671,0
130026.png,13.9278,0.1886,0.6823,0
134035.png,13.4926,0.2346,0.4678,0
14037.png,20.4843,0.4348,0.5599,0
143090.png,19.9852,0.4092,0.4922,0
145086.png,16.1114,0.2572,0.5638,0
147091.png,16.8854,0.3034,0.4597,0
148026.png,13.4402,0.2616,0.4340,0
148089.png,14.4947,0.2107,0.4560,0
156065.png,14.1874,0.1491,0.6700,0
157055.png,15.5895,0.2428,0.6645,0
159008.png,15.4134,0.3286,0.5859,0
160068.png,16.6803,0.5704,0.3702,0
16077.png,14.4203,0.1673,0.6944,0
163085.png,16.8042,0.3140,0.6204,0
167062.png,21.4210,0.6314,0.3296,0
167083.png,12.1777,0.2357,0.5213,0
170057.png,16.8203,0.1824,0.8721,0
175032.png,11.0908,0.0956,0.5997,0
175043.png,12.4512,0.1385,0.8798,0
182053.png,14.5671,0.3206,0.5246,0
189080.png,20.1455,0.4067,0.5537,0
19021.png,15.8073,0.2356,0.5778,0
196073.png,19.9295,0.1919,0.6610,0
197017.png,15.9730,0.2187,0.5774,0
208001.png,15.4184,0.1538,0.7476,0
210088.png,17.4558,0.2404,0.6034,0
21077.png,14.8001,0.1900,0.5816,0
216081.png,15.2179,0.2845,0.5118,0
219090.png,16.2900,0.2640,0.5762,0
220075.png,16.4270,0.3978,0.5375,0
223061.png,14.8702,0.2990,0.5814,0
227092.png,18.9020,0.3055,0.6155,0
229036.png,13.7165,0.1944,0.5118,0
236037.png,13.8623,0.1393,0.7853,0
24077.png,15.6205,0.3450,0.5066,0
241004.png,19.6739,0.3206,0.5870,0
241048.png,14.2005,0.1907,0.6177,0
253027.png,14.1511,0.2537,0.6124,0
253055.png,20.2313,0.3824,0.4898,0
260058.png,19.5700,0.2943,0.5065,0
271035.png,15.3130,0.1887,0.6966,0
285079.png,13.9417,0.1630,0.6464,0
291000.png,12.6343,0.1247,0.4652,0
295087.png,15.7087,0.3423,0.5009,0
296007.png,18.6349,0.1965,0.6781,0
296059.png,17.2091,0.2567,0.6740,0
299086.png,18.3012,0.3308,0.6039,0
300091.png,18.7975,0.3412,0.4814,0
302008.png,18.9330,0.6197,0.4218,0
304034.png,13.0622,0.1526,0.7781,0
304074.png,13.4470,0.1195,0.8469,0
306005.png,15.2207,0.3247,0.7412,0
3096.png,24.8649,0.6051,0.5218,0
33039.png,11.6006,0.1797,0.5890,0
351093.png,13.9229,0.4050,0.3604,0
361010.png,16.5609,0.1928,0.6106,0
37073.png,18.3782,0.2142,0.5129,0
376043.png,13.5618,0.1214,0.7762,0
38082.png,15.1910,0.1148,0.9139,0
38092.png,14.7789,0.2480,0.6371,0
385039.png,14.4298,0.2011,0.4934,0
41033.png,18.4476,0.1992,0.6625,0
41069.png,12.5436,0.0958,0.5957,0
42012.png,18.1415,0.3509,0.6252,0
42049.png,19.0011,0.4708,0.4002,0
43074.png,18.3124,0.3953,0.6136,0
45096.png,23.7512,0.6162,0.3562,0
54082.png,16.3812,0.2213,0.6547,0
55073.png,13.9129,0.1568,0.5660,0
58060.png,13.9726,0.3384,0.4378,0
62096.png,15.9590,0.3263,0.4799,0
65033.png,14.0578,0.1501,0.6380,0
66053.png,16.1120,0.2005,0.5967,0
69015.png,17.0309,0.2898,0.6076,0
69020.png,14.1770,0.0878,0.8253,0
69040.png,13.6524,0.1303,0.7389,0
76053.png,14.6270,0.1122,0.8483,0
78004.png,15.4214,0.2593,0.4886,0
8023.png,16.7015,0.3636,0.7886,0
85048.png,14.0858,0.1918,0.6821,0
86000.png,15.1124,0.3202,0.5223,0
86016.png,14.2921,0.1091,0.6858,0
86068.png,13.4861,0.0784,0.7670,0
87046.png,15.2077,0.2804,0.6300,0
89072.png,15.0492,0.1956,0.6161,0
97033.png,14.6380,0.2117,0.5197,0

AVG,15.9418,0.2670,0.6021,
AVG(psnr>=10),15.9418,0.2670,0.6021,dropped=0
