image,psnr,ssim,lpips,is_outlier_by_psnr_floor
101085.png,20.5753,0.4381,0.3079,0
101087.png,24.8052,0.7330,0.1999,0
102061.png,22.2415,0.7141,0.2527,0
103070.png,25.8144,0.7301,0.3096,0
105025.png,23.5668,0.6068,0.3660,0
106024.png,28.4124,0.8387,0.1662,0
108005.png,23.1178,0.6173,0.3160,0
108070.png,20.5542,0.4468,0.4248,0
108082.png,23.5340,0.6894,0.2795,0
109053.png,26.1574,0.7102,0.2840,0
119082.png,19.7512,0.5855,0.2372,0
12084.png,22.8591,0.5624,0.3368,0
123074.png,25.5697,0.6658,0.2656,0
126007.png,24.7915,0.7321,0.2043,0
130026.png,22.3789,0.5642,0.3517,0
134035.png,19.8574,0.5749,0.2702,0
14037.png,29.5830,0.8303,0.1520,0
143090.png,28.8218,0.8352,0.1499,0
145086.png,21.7928,0.6313,0.1940,0
147091.png,22.3681,0.7274,0.2514,0
148026.png,17.7896,0.5168,0.2853,0
148089.png,19.5316,0.4368,0.2908,0
156065.png,22.6764,0.4678,0.4918,0
157055.png,22.7440,0.6726,0.2997,0
159008.png,22.6345,0.6999,0.2610,0
160068.png,22.2984,0.7442,0.2017,0
16077.png,24.5733,0.6494,0.3510,0
163085.png,25.4148,0.7094,0.3081,0
167062.png,26.6170,0.8365,0.2467,0
167083.png,17.0790,0.3775,0.3999,0
170057.png,25.6991,0.6752,0.2886,0
175032.png,17.3972,0.2731,0.4594,0
175043.png,20.7740,0.4349,0.3094,0
182053.png,20.4778,0.6569,0.2045,0
189080.png,30.0720,0.8465,0.2280,0
19021.png,22.8007,0.5875,0.2865,0
196073.png,26.5409,0.4440,0.6299,0
197017.png,24.2025,0.6156,0.1968,0
208001.png,25.0242,0.6254,0.3097,0
210088.png,28.8359,0.8823,0.1343,0
21077.png,22.6210,0.6258,0.2604,0
216081.png,21.8325,0.5999,0.2538,0
219090.png,23.0634,0.6684,0.2527,0
220075.png,23.7959,0.7821,0.1994,0
223061.png,19.9765,0.4997,0.3123,0
227092.png,30.5558,0.7957,0.2068,0
229036.png,19.7183,0.4772,0.3207,0
236037.png,21.7741,0.4982,0.3080,0
24077.png,22.0388,0.7541,0.2260,0
241004.png,27.6803,0.7572,0.1878,0
241048.png,22.1397,0.5067,0.3119,0
253027.png,18.5532,0.5862,0.3293,0
253055.png,27.7272,0.7597,0.1802,0
260058.png,23.1319,0.5675,0.3583,0
271035.png,23.3561,0.6409,0.2600,0
285079.png,22.3880,0.5632,0.3172,0
291000.png,19.0558,0.2896,0.4887,0
295087.png,23.3290,0.5976,0.2097,0
296007.png,27.9123,0.6938,0.2675,0
296059.png,27.3135,0.6906,0.2517,0
299086.png,27.5311,0.7156,0.2077,0
300091.png,25.5409,0.7161,0.2719,0
302008.png,24.0229,0.8788,0.1426,0
304034.png,21.3484,0.5168,0.3227,0
304074.png,22.9906,0.4933,0.3520,0
306005.png,24.5938,0.7004,0.3147,0
3096.png,32.2925,0.9556,0.1043,0
33039.png,17.7131,0.4139,0.3100,0
351093.png,19.8762,0.5474,0.2837,0
361010.png,24.5748,0.7064,0.2109,0
37073.png,26.7060,0.7343,0.2686,0
376043.png,22.7000,0.4567,0.3232,0
38082.png,23.0119,0.4226,0.3487,0
38092.png,22.8053,0.5787,0.2424,0
385039.png,20.0549,0.5940,0.2501,0
41033.png,26.5152,0.6880,0.2630,0
41069.png,20.8189,0.3333,0.3375,0
42012.png,24.0098,0.6481,0.3033,0
42049.png,25.5193,0.8902,0.1326,0
43074.png,26.7852,0.7645,0.2447,0
45096.png,30.2297,0.9010,0.1831,0
54082.png,24.5384,0.5995,0.2768,0
55073.png,19.2257,0.3852,0.4177,0
58060.png,17.4402,0.4690,0.3501,0
62096.png,21.8002,0.6890,0.2700,0
65033.png,21.5089,0.4423,0.3049,0
66053.png,22.7758,0.5553,0.2459,0
69015.png,26.4934,0.7054,0.2580,0
69020.png,24.7020,0.4519,0.3628,0
69040.png,21.4630,0.4925,0.3201,0
76053.png,25.7274,0.5766,0.2532,0
78004.png,22.6569,0.6431,0.2548,0
8023.png,27.5471,0.7814,0.3247,0
85048.png,22.1003,0.5821,0.2570,0
86000.png,21.3402,0.6709,0.2395,0
86016.png,19.3583,0.2068,0.6033,0
86068.png,25.3747,0.4619,0.5926,0
87046.png,22.9281,0.6681,0.2944,0
89072.png,22.2037,0.5749,0.2666,0
97033.png,21.0034,0.5910,0.2642,0

AVG,23.4753,0.6194,0.2858,
AVG(psnr>=10),23.4753,0.6194,0.2858,dropped=0
