image,psnr,ssim,lpips,is_outlier_by_psnr_floor
baboon.png,21.0079,0.4561,0.6755,0
barbara.png,23.9281,0.6918,0.4513,0
bridge.png,23.1328,0.5714,0.6146,0
coastguard.png,23.4986,0.5065,0.6524,0
comic.png,20.3503,0.5946,0.5314,0
face.png,30.5758,0.7426,0.4623,0
flowers.png,24.5048,0.7223,0.4155,0
foreman.png,28.5434,0.8618,0.3536,0
lenna.png,28.9875,0.8118,0.4069,0
man.png,24.5456,0.6756,0.5175,0
monarch.png,26.6410,0.8804,0.3002,0
pepper.png,29.8799,0.8317,0.3438,0
ppt3.png,20.8623,0.8257,0.3158,0
zebra.png,23.6195,0.7038,0.4031,0

AVG,25.0055,0.7054,0.4603,
AVG(psnr>=10),25.0055,0.7054,0.4603,dropped=0
