image,psnr,ssim,lpips,is_outlier_by_psnr_floor
baboon.png,12.6945,0.0974,0.8380,0
barbara.png,14.3060,0.1548,0.7083,0
bridge.png,13.6097,0.1365,0.7785,0
coastguard.png,15.7967,0.1540,0.4580,0
comic.png,12.4007,0.2049,0.6084,0
face.png,16.6588,0.2426,0.7536,0
flowers.png,15.1829,0.2175,0.6192,0
foreman.png,18.2464,0.4057,0.4707,0
lenna.png,16.2313,0.1433,0.7806,0
man.png,14.8808,0.1965,0.7271,0
monarch.png,19.5221,0.4497,0.4498,0
pepper.png,18.9926,0.2312,0.6405,0
ppt3.png,17.0582,0.6700,0.2805,0
zebra.png,15.2016,0.2436,0.6072,0

AVG,15.7702,0.2534,0.6229,
AVG(psnr>=10),15.7702,0.2534,0.6229,dropped=0
