image,psnr,ssim,lpips,is_outlier_by_psnr_floor
baboon.png,19.7715,0.4074,0.4285,0
barbara.png,19.8057,0.6413,0.3603,0
bridge.png,21.9180,0.5027,0.3516,0
coastguard.png,23.7374,0.5068,0.2952,0
comic.png,19.2119,0.5620,0.2518,0
face.png,29.8305,0.7286,0.2772,0
flowers.png,24.0167,0.7066,0.2558,0
foreman.png,24.8288,0.8423,0.1655,0
lenna.png,28.3845,0.8055,0.2409,0
man.png,23.7342,0.6432,0.2828,0
monarch.png,25.0064,0.8767,0.1528,0
pepper.png,29.5810,0.8291,0.2143,0
ppt3.png,20.2225,0.8461,0.1397,0
zebra.png,22.5051,0.6599,0.1739,0

AVG,23.7539,0.6827,0.2564,
AVG(psnr>=10),23.7539,0.6827,0.2564,dropped=0
